"","location","cnt","lat","long","lat_min","lat_max","lon_min","lon_max"
"1268","Westfield, PA",1,41.9192368,-77.5388744,41.908807,41.92591,-77.553999,-77.527976
"1269","Westlake Village, CA",8,34.1460234,-118.8061794,34.1103165,34.16822,-118.8564321,-118.7888927
"1270","Westmont, IL",5,41.7950525,-87.9751964,41.7648314,41.825053,-87.9942317,-87.9469531
"1271","Weston, FL",3,26.1003392,-80.399513,26.0617552,26.146019,-80.450049,-80.3621365
"1272","Wethersfield, CT",2,41.7142665,-72.6525922,41.6688858,41.7298333,-72.7083445,-72.6157591
"1273","Whately, MA",42,42.4399249,-72.6349083,42.4055501,42.4728773,-72.704392,-72.5811022
"1274","Wheatland, WY",4,42.054424,-104.952726,42.031095,42.075918,-104.98257,-104.916178
"1275","Wheaton, MD",7,39.0497933,-77.0522851,39.0220077,39.0775125,-77.1092452,-77.0234148
"1276","Wheeling, IL",1,42.138889,-87.9310944,42.095165,42.155236,-87.96116,-87.887568
"1277","Wheeling, WV",2,40.0639616,-80.7209149,40.016087,40.152488,-80.7390431,-80.642957
"1278","White Bear Lake, MN",5,45.0838098,-93.0069304,45.032995,45.1020202,-93.0561948,-92.9803062
"1279","White City, OR",10,42.431975,-122.838804,42.411975,42.451975,-122.858804,-122.818804
"1280","White Oak, NC",2,34.739262,-78.7175597,34.722549,34.75575,-78.755158,-78.682541
"1281","White Plains, NY",6,41.0339862,-73.7629097,40.982444,41.07003,-73.789955,-73.719524
"1282","Wichita Falls, TX",1,33.9004572,-98.5020777,33.8356543,33.9964124,-98.6143877,-98.4243457
"1283","Wichita, KS",21,37.6922361,-97.3375448,37.489018,37.8402,-97.734352,-97.153003
"1284","Willard, OH",8,41.0531134,-82.7262958,41.034605,41.075346,-82.743566,-82.697615
"1285","Williamsburg, VA",18,37.2708788,-76.7074042,37.2474666,37.3101256,-76.7429843,-76.6643134
"1286","Williamsport, MD",10,39.5993627,-77.8215298,39.5878429,39.608708,-77.829279,-77.8057768
"1287","Willmar, MN",6,45.1219492,-95.0435373,45.0814605,45.1611267,-95.1584062,-95.0015686
"1288","Willow Grove, PA",1,40.1439985,-75.1157286,40.1239985,40.1639985,-75.1357286,-75.0957286
"1289","Wilmette, IL",1,42.0887132,-87.7025069,42.0886632,42.0887632,-87.7025569,-87.7024569
"1290","Wilmington, DE",75,39.7459468,-75.546589,39.6880352,39.7730389,-75.588459,-75.4707753
"1291","Wilmington, NC",27,34.2257282,-77.9447107,34.147246,34.267026,-77.956995,-77.786849
"1292","Wilsonville, OR",6,45.3099218,-122.76816,45.2813863,45.3446936,-122.8071674,-122.7381861
"1293","Wilton, CT",24,41.1953739,-73.4378988,41.1537623,41.2651959,-73.5021424,-73.3795693
"1294","Winchester, MA",4,42.4523178,-71.1369982,42.4355506,42.4738953,-71.1896355,-71.1095213
"1295","Winchester, VA",2,39.1852184,-78.1652404,39.1310274,39.2048701,-78.2005131,-78.136725
"1296","Windsor, CO",2,40.4774818,-104.901361,40.407061,40.543665,-104.991616,-104.841893
"1297","Winston-Salem, NC",24,36.0998131,-80.2440518,35.996552,36.21816,-80.385947,-80.100969
